IM_INCIDENT_KEY,FIRE_BOX,INCIDENT_TYPE_DESC,INCIDENT_DATE_TIME,ARRIVAL_DATE_TIME,UNITS_ONSCENE,LAST_UNIT_CLEARED_DATE_TIME,HIGHEST_LEVEL_DESC,TOTAL_INCIDENT_DURATION,ACTION_TAKEN1_DESC,ACTION_TAKEN2_DESC,ACTION_TAKEN3_DESC,PROPERTY_USE_DESC,STREET_HIGHWAY,ZIP_CODE,BOROUGH_DESC,FLOOR,CO_DETECTOR_PRESENT_DESC,FIRE_ORIGIN_BELOW_GRADE_FLAG,STORY_FIRE_ORIGIN_COUNT,FIRE_SPREAD_DESC,DETECTOR_PRESENCE_DESC,AES_PRESENCE_DESC,STANDPIPE_SYS_PRESENT_FLAG,Latitude,Longitude,Community Board,Community Council,Census Tract,BIN,BBL,NTA,year
57895206,7890,111 - Building fire,1/1/2015 17:48,1/1/2015 17:51,11,1/1/2015 19:55,7 - Signal 7-5,7649,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,90 ST,11372,5 - Queens,NA,NA,NA,2,2 - Confined to room of origin,1 - Present,N - None Present,0,40.7530101,-73.8773249,NA,NA,NA,NA,NA,NA,2015
57896217,686,111 - Building fire,1/2/2015 1:22,1/2/2015 1:24,11,1/2/2015 2:28,7 - Signal 7-5,3949,11 - Extinguishment by fire service personnel,21 - Search,51 - Ventilate,Residential/Multihousing,VAN BUREN ST,11221,4 - Brooklyn,1,NA,NA,1,2 - Confined to room of origin,N - None present,N - None Present,0,40.6909905,-73.9351495,NA,NA,NA,NA,NA,NA,2015
57896644,754,111 - Building fire,1/2/2015 7:35,1/2/2015 7:38,12,1/2/2015 9:46,7 - Signal 7-5,7843,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,CENTRAL AVE,11221,4 - Brooklyn,1,NA,NA,1,2 - Confined to room of origin,N - None present,N - None Present,0,40.693022,-73.916257,NA,NA,NA,NA,NA,NA,2015
57896855,2872,111 - Building fire,1/2/2015 9:07,1/2/2015 9:12,9,1/2/2015 11:24,7 - Signal 7-5,8224,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,GLEASON AVE,10472,2 - Bronx,1,NA,NA,1,2 - Confined to room of origin,N - None present,N - None Present,0,40.830181,-73.86406,NA,NA,NA,NA,NA,NA,2015
57897210,1211,131 - Passenger vehicle fire,1/2/2015 11:28,1/2/2015 11:31,9,1/2/2015 12:49,7 - Signal 7-5,4855,"10 - Fire control or extinguishment, other",NA,NA,Commercial/Others,ATLANTIC AVE,11217,4 - Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,40.6846619,-73.9790047,NA,NA,NA,NA,NA,NA,2015
57898118,1596,111 - Building fire,1/2/2015 17:11,1/2/2015 17:15,14,1/2/2015 20:06,7 - Signal 7-5,10451,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,HAMILTON PL,10031,1 - Manhattan,NA,NA,NA,3,1 - Confined to object of origin,N - None present,N - None Present,0,40.8228961,-73.9509114,NA,NA,NA,NA,NA,NA,2015
57898415,1650,111 - Building fire,1/2/2015 18:41,1/2/2015 18:44,11,1/2/2015 21:17,7 - Signal 7-5,9373,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,STNICHOLAS AVE,10031,1 - Manhattan,4,NA,NA,4,3 - Confined to floor of origin,N - None present,1 - Present,0,40.8253285,-73.9438167,NA,NA,NA,NA,NA,NA,2015
57898825,277,111 - Building fire,1/2/2015 21:00,1/2/2015 21:03,14,1/2/2015 23:08,7 - Signal 7-5,7671,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,CLINTON ST,10002,1 - Manhattan,cellar,NA,1,0,3 - Confined to floor of origin,1 - Present,N - None Present,0,40.7161881,-73.9865604,NA,NA,NA,NA,NA,NA,2015
57899096,7055,"350 - Extrication, rescue, other",1/2/2015 23:20,1/2/2015 23:24,10,1/3/2015 0:32,7 - Signal 7-5,4285,81 - Incident command,NA,NA,Commercial/Others,IND D BRIGHTONBEACH AVE,99999,4 - Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,40.5778906,-73.9609477,NA,NA,NA,NA,NA,NA,2015
57900666,2406,111 - Building fire,1/3/2015 15:40,1/3/2015 15:44,10,1/3/2015 17:13,7 - Signal 7-5,5592,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,E 45 ST,11234,4 - Brooklyn,Basement,NA,1,0,2 - Confined to room of origin,1 - Present,N - None Present,0,40.6271013,-73.932626,NA,NA,NA,NA,NA,NA,2015
57901854,798,111 - Building fire,1/3/2015 23:05,1/3/2015 23:08,11,1/4/2015 0:16,7 - Signal 7-5,4233,11 - Extinguishment by fire service personnel,52 - Forcible entry,51 - Ventilate,Residential/Multihousing,LAFAYETTE AVE,11221,4 - Brooklyn,1,NA,NA,1,2 - Confined to room of origin,1 - Present,N - None Present,0,40.6915487,-73.9367547,NA,NA,NA,NA,NA,NA,2015
57901888,391,111 - Building fire,1/3/2015 23:19,1/3/2015 23:24,14,1/4/2015 0:34,7 - Signal 7-5,4515,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,CLOVE RD,10310,3 - Staten Island,1,NA,NA,1,4 - Confined to building of origin,1 - Present,N - None Present,0,40.6277816,-74.1211208,NA,NA,NA,NA,NA,NA,2015
57902516,3287,111 - Building fire,1/4/2015 7:03,1/4/2015 7:07,12,1/4/2015 10:26,7 - Signal 7-5,12197,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,NARRAGANSETT AVE,10461,2 - Bronx,2,NA,NA,2,4 - Confined to building of origin,1 - Present,N - None Present,0,40.8547742,-73.8504053,NA,NA,NA,NA,NA,NA,2015
57902947,3065,111 - Building fire,1/4/2015 11:11,1/4/2015 11:14,5,1/4/2015 11:59,7 - Signal 7-5,2853,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,ARCHER ST,10460,2 - Bronx,1,NA,NA,1,2 - Confined to room of origin,1 - Present,1 - Present,0,40.8376726,-73.8654793,NA,NA,NA,NA,NA,NA,2015
57903088,2877,111 - Building fire,1/4/2015 11:56,1/4/2015 12:01,12,1/4/2015 16:16,7 - Signal 7-5,15587,11 - Extinguishment by fire service personnel,51 - Ventilate,21 - Search,Residential/Multihousing,ELLIS AVE,10462,2 - Bronx,1st,NA,NA,1,4 - Confined to building of origin,N - None present,N - None Present,0,40.83306,-73.848147,NA,NA,NA,NA,NA,NA,2015
57904314,2149,111 - Building fire,1/4/2015 20:34,1/4/2015 20:37,11,1/4/2015 22:57,7 - Signal 7-5,8586,11 - Extinguishment by fire service personnel,21 - Search,51 - Ventilate,Residential/Multihousing,E 138 ST,10454,2 - Bronx,3,NA,NA,3,3 - Confined to floor of origin,1 - Present,N - None Present,0,40.8068287,-73.9174895,NA,NA,NA,NA,NA,NA,2015
57904970,854,111 - Building fire,1/5/2015 2:41,1/5/2015 2:44,11,1/5/2015 3:24,7 - Signal 7-5,2555,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,SARATOGA AVE,11233,4 - Brooklyn,1ST FLOOR REAR APT,NA,NA,1,2 - Confined to room of origin,N - None present,N - None Present,0,40.6785715,-73.9162994,NA,NA,NA,NA,NA,NA,2015
57905025,8658,111 - Building fire,1/5/2015 3:39,1/5/2015 3:43,15,1/5/2015 7:16,7 - Signal 7-5,13021,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,118 RD,11434,5 - Queens,basement,NA,1,0,4 - Confined to building of origin,N - None present,N - None Present,0,40.683317,-73.7774044,NA,NA,NA,NA,NA,NA,2015
57905072,5741,"130 - Mobile property (vehicle) fire, other",1/5/2015 4:25,1/5/2015 4:31,6,1/5/2015 5:25,7 - Signal 7-5,3604,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,MERRICK BLVD,11413,5 - Queens,NA,NA,NA,NA,NA,NA,NA,NA,40.680294,-73.7545931,NA,NA,NA,NA,NA,NA,2015
57905521,1670,"117 - Commercial Compactor fire, confined to rubbish",1/5/2015 8:22,1/5/2015 8:27,6,1/5/2015 11:01,7 - Signal 7-5,9542,11 - Extinguishment by fire service personnel,51 - Ventilate,NA,Residential/Multihousing,DOUGLASS BLVD,10039,1 - Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,40.8272518,-73.9386949,NA,NA,NA,NA,NA,NA,2015
57905835,832,111 - Building fire,1/5/2015 9:48,1/5/2015 9:52,16,1/5/2015 12:00,7 - Signal 7-5,7936,11 - Extinguishment by fire service personnel,"113 - Stretch 2 1/2  line, extinguish fire","211 - Performed primary search, fire area",Commercial/Others,W 47 ST,10036,1 - Manhattan,5,NA,NA,5,2 - Confined to room of origin,1 - Present,1 - Present,1,40.7609205,-73.9886647,NA,NA,NA,NA,NA,NA,2015
57905935,8804,111 - Building fire,1/5/2015 10:20,1/5/2015 10:22,10,1/5/2015 11:11,7 - Signal 7-5,3116,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,132 ST,11419,5 - Queens,2nd,NA,NA,2,2 - Confined to room of origin,1 - Present,N - None Present,0,40.6909686,-73.8143855,NA,NA,NA,NA,NA,NA,2015
57906902,4113,111 - Building fire,1/5/2015 15:52,1/5/2015 15:55,10,1/5/2015 16:40,7 - Signal 7-5,2867,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,E 66 ST,11234,4 - Brooklyn,1,NA,NA,1,3 - Confined to floor of origin,1 - Present,N - None Present,0,40.6157166,-73.9091408,NA,NA,NA,NA,NA,NA,2015
57908158,1722,111 - Building fire,1/6/2015 0:08,1/6/2015 0:10,13,1/6/2015 2:25,7 - Signal 7-5,8184,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,RIVERDALE AVE,11207,4 - Brooklyn,1,NA,NA,1,2 - Confined to room of origin,N - None present,N - None Present,0,40.66307,-73.8946201,NA,NA,NA,NA,NA,NA,2015
57908284,9562,111 - Building fire,1/6/2015 1:32,1/6/2015 1:37,12,1/6/2015 2:16,7 - Signal 7-5,2655,11 - Extinguishment by fire service personnel,215 - Check for extension,21 - Search,Residential/Multihousing,70 DR,11375,5 - Queens,basement,NA,1,1,2 - Confined to room of origin,N - None present,N - None Present,0,40.7087988,-73.852385,NA,NA,NA,NA,NA,NA,2015
57909213,2151,111 - Building fire,1/6/2015 9:43,1/6/2015 9:46,12,1/6/2015 12:40,7 - Signal 7-5,10626,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,GLENWOOD RD,11236,4 - Brooklyn,1,NA,NA,1,3 - Confined to floor of origin,N - None present,N - None Present,0,40.6431272,-73.9054201,NA,NA,NA,NA,NA,NA,2015
57909719,5533,111 - Building fire,1/6/2015 12:26,1/6/2015 12:30,12,1/6/2015 14:18,7 - Signal 7-5,6728,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,184 PL,11423,5 - Queens,3,NA,NA,3,3 - Confined to floor of origin,N - None present,N - None Present,0,40.7120711,-73.7764355,NA,NA,NA,NA,NA,NA,2015
57909899,4723,111 - Building fire,1/6/2015 13:28,1/6/2015 13:31,17,1/6/2015 15:17,7 - Signal 7-5,6508,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,RICHMAN PLZ,10453,2 - Bronx,1,NA,NA,1,2 - Confined to room of origin,1 - Present,N - None Present,1,40.8520482,-73.9224459,NA,NA,NA,NA,NA,NA,2015
57909940,1730,111 - Building fire,1/6/2015 13:43,1/6/2015 13:45,8,1/6/2015 14:43,7 - Signal 7-5,3586,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,PENNSYLVANIA AVE,11207,4 - Brooklyn,1,NA,NA,1,1 - Confined to object of origin,N - None present,N - None Present,0,40.6580404,-73.8901334,NA,NA,NA,NA,NA,NA,2015
57910514,814,111 - Building fire,1/6/2015 16:53,1/6/2015 16:55,13,1/6/2015 19:05,7 - Signal 7-5,7952,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,COVERT ST,11207,4 - Brooklyn,basement,NA,NA,1,5 - Beyond building of origin,N - None present,N - None Present,0,40.6891808,-73.9095042,NA,NA,NA,NA,NA,NA,2015
57911039,4841,111 - Building fire,1/6/2015 19:27,1/6/2015 19:31,12,1/6/2015 22:26,7 - Signal 7-5,10736,11 - Extinguishment by fire service personnel,119 - Supplied Sprinkler System,NA,Commercial/Others,WHITEPLAINS RD,10466,2 - Bronx,Basement,NA,1,1,2 - Confined to room of origin,N - None present,1 - Present,0,40.892043,-73.858116,NA,NA,NA,NA,NA,NA,2015
57911299,1520,111 - Building fire,1/6/2015 21:22,1/6/2015 21:27,20,1/6/2015 23:46,7 - Signal 7-5,8652,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,GREENWOOD AVE,11218,4 - Brooklyn,3,NA,NA,3,2 - Confined to room of origin,N - None present,1 - Present,1,40.650969,-73.976976,NA,NA,NA,NA,NA,NA,2015
57911423,1743,111 - Building fire,1/6/2015 22:21,1/6/2015 22:21,12,1/7/2015 0:26,7 - Signal 7-5,7492,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,VERMONT ST,11207,4 - Brooklyn,1,NA,NA,1,2 - Confined to room of origin,N - None present,N - None Present,0,40.6688844,-73.8931265,NA,NA,NA,NA,NA,NA,2015
57911453,8132,"100 - Fire, other",1/6/2015 22:29,1/6/2015 22:36,6,1/7/2015 0:10,7 - Signal 7-5,6107,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,VICTORY BLVD,99999,3 - Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,40.611838,-74.1384478,NA,NA,NA,NA,NA,NA,2015
57912545,7583,"100 - Fire, other",1/7/2015 10:48,1/7/2015 10:51,13,1/7/2015 13:09,7 - Signal 7-5,8465,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,35 ST,11105,5 - Queens,2nd,NA,NA,NA,NA,NA,NA,NA,40.7747911,-73.9089965,NA,NA,NA,NA,NA,NA,2015
57912624,2646,111 - Building fire,1/7/2015 11:13,1/7/2015 11:16,9,1/7/2015 12:57,7 - Signal 7-5,6241,11 - Extinguishment by fire service personnel,21 - Search,"112 - Stretch 1 3/4  line, extinguish fire",Residential/Multihousing,78 ST,11209,4 - Brooklyn,2,NA,NA,2,3 - Confined to floor of origin,N - None present,N - None Present,0,40.629294,-74.028678,NA,NA,NA,NA,NA,NA,2015
57912771,4075,111 - Building fire,1/7/2015 12:02,1/7/2015 12:05,13,1/7/2015 14:35,7 - Signal 7-5,9177,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,METROPOLITAN AVE,11385,5 - Queens,NA,NA,NA,1,3 - Confined to floor of origin,N - None present,1 - Present,0,40.7123586,-73.8917096,NA,NA,NA,NA,NA,NA,2015
57913685,755,111 - Building fire,1/7/2015 17:00,1/7/2015 17:02,12,1/7/2015 19:36,7 - Signal 7-5,9347,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,PORT RICHMOND AVE,10302,3 - Staten Island,1,NA,NA,1,4 - Confined to building of origin,1 - Present,N - None Present,0,40.6325086,-74.1374066,NA,NA,NA,NA,NA,NA,2015
57913793,8171,"651 - Smoke scare, odor of smoke",1/7/2015 17:21,1/7/2015 17:23,23,1/7/2015 20:06,7 - Signal 7-5,9935,"10 - Fire control or extinguishment, other",NA,NA,Commercial/Others,W 33 ST,10001,1 - Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,40.7518389,-73.9946789,NA,NA,NA,NA,NA,NA,2015
57913865,5016,111 - Building fire,1/7/2015 17:40,1/7/2015 17:43,9,1/7/2015 18:26,7 - Signal 7-5,2742,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,166 ST,11433,5 - Queens,FIRST,NA,NA,1,2 - Confined to room of origin,N - None present,N - None Present,0,40.6938168,-73.7860061,NA,NA,NA,NA,NA,NA,2015
57914240,1078,111 - Building fire,1/7/2015 19:48,1/7/2015 19:51,9,1/7/2015 21:10,7 - Signal 7-5,4886,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,WASHINGTON AVE,11238,4 - Brooklyn,NA,NA,NA,1,4 - Confined to building of origin,N - None present,N - None Present,0,40.6785162,-73.9639049,NA,NA,NA,NA,NA,NA,2015
57915127,1041,111 - Building fire,1/8/2015 4:45,1/8/2015 4:49,12,1/8/2015 6:34,7 - Signal 7-5,6574,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,W 73 ST,10023,1 - Manhattan,NA,NA,1,0,2 - Confined to room of origin,N - None present,1 - Present,0,40.7792193,-73.9809561,NA,NA,NA,NA,NA,NA,2015
57915135,357,111 - Building fire,1/8/2015 4:48,1/8/2015 4:52,12,1/8/2015 5:53,7 - Signal 7-5,3893,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,GARVEY BLVD,11206,4 - Brooklyn,1,NA,NA,1,2 - Confined to room of origin,N - None present,N - None Present,0,40.696354,-73.9406945,NA,NA,NA,NA,NA,NA,2015
57915152,3334,"100 - Fire, other",1/8/2015 4:57,1/8/2015 5:00,11,1/8/2015 7:11,7 - Signal 7-5,8031,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,E 193 ST,10458,2 - Bronx,2ND,NA,NA,NA,NA,NA,NA,NA,40.8640865,-73.8924176,NA,NA,NA,NA,NA,NA,2015
57916297,2477,111 - Building fire,1/8/2015 11:09,1/8/2015 11:11,14,1/8/2015 13:57,7 - Signal 7-5,10088,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,ARGYLE RD,11218,4 - Brooklyn,1,NA,1,0,2 - Confined to room of origin,N - None present,N - None Present,0,40.6440977,-73.9668924,NA,NA,NA,NA,NA,NA,2015
57917451,2313,111 - Building fire,1/8/2015 16:07,1/8/2015 16:10,14,1/8/2015 18:27,7 - Signal 7-5,8394,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,E 57 ST,11203,4 - Brooklyn,"Base,1st",NA,NA,0,4 - Confined to building of origin,1 - Present,N - None Present,0,40.6497724,-73.9233941,NA,NA,NA,NA,NA,NA,2015
57917606,1156,111 - Building fire,1/8/2015 16:35,1/8/2015 16:39,12,1/8/2015 18:22,7 - Signal 7-5,6421,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,83 ST,11209,4 - Brooklyn,1,NA,NA,1,1 - Confined to object of origin,1 - Present,N - None Present,0,40.6256834,-74.0301806,NA,NA,NA,NA,NA,NA,2015
57918537,1735,111 - Building fire,1/8/2015 20:54,1/8/2015 20:56,13,1/8/2015 22:18,7 - Signal 7-5,5090,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,NEW JERSEY AVE,11207,4 - Brooklyn,2,NA,NA,2,3 - Confined to floor of origin,N - None present,N - None Present,0,40.6656761,-73.8932513,NA,NA,NA,NA,NA,NA,2015
57919636,1630,111 - Building fire,1/9/2015 5:35,1/9/2015 5:38,14,1/9/2015 7:47,7 - Signal 7-5,7949,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,E 92 ST,11212,4 - Brooklyn,1,NA,NA,1,5 - Beyond building of origin,N - None present,N - None Present,0,40.6586479,-73.923936,NA,NA,NA,NA,NA,NA,2015
57920232,305,111 - Building fire,1/9/2015 8:57,1/9/2015 9:00,11,1/9/2015 9:52,7 - Signal 7-5,3274,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,DIVISION AVE,11211,4 - Brooklyn,7,NA,NA,7,2 - Confined to room of origin,N - None present,N - None Present,1,40.7074026,-73.9599578,NA,NA,NA,NA,NA,NA,2015
57921051,5407,111 - Building fire,1/9/2015 12:36,1/9/2015 12:39,10,1/9/2015 14:54,7 - Signal 7-5,8301,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,217 PL,11429,5 - Queens,bsmt,NA,1,0,4 - Confined to building of origin,N - None present,N - None Present,0,40.7124464,-73.7398097,NA,NA,NA,NA,NA,NA,2015
57921588,916,111 - Building fire,1/9/2015 14:38,1/9/2015 14:42,20,1/9/2015 16:39,7 - Signal 7-5,7286,11 - Extinguishment by fire service personnel,21 - Search,51 - Ventilate,Residential/Multihousing,W 57 ST,10019,1 - Manhattan,15,NA,NA,15,2 - Confined to room of origin,1 - Present,N - None Present,1,40.767267,-73.9841435,NA,NA,NA,NA,NA,NA,2015
57921762,1298,111 - Building fire,1/9/2015 15:17,1/9/2015 15:19,11,1/9/2015 17:47,7 - Signal 7-5,9018,11 - Extinguishment by fire service personnel,51 - Ventilate,NA,Residential/Multihousing,W 105 ST,10025,1 - Manhattan,6,NA,1,0,4 - Confined to building of origin,N - None present,N - None Present,0,40.7995653,-73.9657474,NA,NA,NA,NA,NA,NA,2015
57922542,372,111 - Building fire,1/9/2015 18:09,1/9/2015 18:12,11,1/9/2015 18:59,7 - Signal 7-5,2990,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,W 3 ST,10012,1 - Manhattan,Ground floor store.,NA,NA,1,1 - Confined to object of origin,N - None present,N - None Present,0,40.7293961,-73.9980108,NA,NA,NA,NA,NA,NA,2015
57924024,1383,111 - Building fire,1/10/2015 1:12,1/10/2015 1:16,12,1/10/2015 13:58,7 - Signal 7-5,46010,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,E 116-ST-MARIN BLVD,10035,1 - Manhattan,1,NA,NA,1,3 - Confined to floor of origin,N - None present,N - None Present,0,40.798945,-73.9423635,NA,NA,NA,NA,NA,NA,2015
57924397,2725,111 - Building fire,1/10/2015 6:03,1/10/2015 6:06,13,1/10/2015 8:51,7 - Signal 7-5,10042,11 - Extinguishment by fire service personnel,NA,NA,Commercial/Others,SHERIDAN AVE,10456,2 - Bronx,NA,NA,NA,1,2 - Confined to room of origin,N - None present,1 - Present,1,40.8341233,-73.9166594,NA,NA,NA,NA,NA,NA,2015
57924787,9353,111 - Building fire,1/10/2015 9:00,1/10/2015 9:02,12,1/10/2015 11:32,7 - Signal 7-5,9109,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,102 ST,11368,5 - Queens,NA,NA,NA,1,2 - Confined to room of origin,N - None present,N - None Present,0,40.7482299,-73.8634053,NA,NA,NA,NA,NA,NA,2015
57925417,582,111 - Building fire,1/10/2015 12:30,1/10/2015 12:34,14,1/10/2015 13:58,7 - Signal 7-5,5244,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,WYCKOFF ST,11217,4 - Brooklyn,NA,NA,NA,10,2 - Confined to room of origin,N - None present,N - None Present,1,40.684389,-73.986564,NA,NA,NA,NA,NA,NA,2015
57925902,3550,111 - Building fire,1/10/2015 14:55,1/10/2015 14:59,11,1/10/2015 16:59,7 - Signal 7-5,7428,11 - Extinguishment by fire service personnel,NA,NA,Residential/Multihousing,E 205 ST,10458,2 - Bronx,3,NA,NA,3,3 - Confined to floor of origin,N - None present,N - None Present,0,40.8750651,-73.8847428,NA,NA,NA,NA,NA,NA,2015
